问题,答案
意识强度检测点有多少个？,意识强度检测点，大检测点有几百个，小检测点有几万个。
意识强度检测点的数据是如何积累的？,这些检测点是意识强度的专业研究组织从无数亿年的研究中逐渐积累的实验数据。
意识强度检测点是如何进行测试的？,主要使用意识强度检测仪进行测试，客观性最大化，属人性最小化。
这些检测点是大检测点还是小检测点,大检测点
意识强度检测点是如何分类的？,为了便于实验和管理，意识强度检测点按照功能种类，分为不同的“功能区”。
什么是“中央区：心智控制区”？,“中央区：心智控制区”是意识强度检测点中的一个功能区，其中心智控制等于机器人心智控制程序模式（AI机器程序）。
每个种类，都有量化的数值吗,是的
如何理解“心智控制区”的数值？,心智控制的数值属于“抗性比率”，都是成对的。所有检测数值，均显示为“正值”或“反值”的百分比数值。
正值的最高值是多少？,正值的最高值为100%。
反值的最高值是多少？,反值的最高值为0%。
意识强度检测仪有几种数据检测模式？,意识强度检测仪有“正测”和“反测”两种数据检测模式。
什么是“正测”和“反测”？,所有的意识强度检测点，均可以“正测”或“反测”，其数值各称为“正值”或“反值”。所有的意识强度检测点，均可以“正测”或“反测”，其数值各称为“正值”或“反值”。
如何计算“正值”和“反值”？,公式1：正值=100%-反值%。公式2：反值=100%-正值%。
“正值”与“反值”代表什么？,“正值”与“反值”是客观实验的量化数值，与人类主观的“好坏”观念没有任何直接关系。
意识强度检测点的数值是如何表示的？,所有检测数值，均显示为“正值”或“反值”的百分比数值。
正测和反测的数值是如何关系的？,这两个数值是完全相反的，检测方式是一样的，只是显示方式相反而已。
正值与反值与人类的“好坏”观念有关系吗？,正值与反值是客观实验的量化数值，与人类主观的“好坏”观念没有任何直接关系。
中央区的检测点主要关注什么？,中央区的检测点主要关注心智控制，即机器人心智控制程序模式（AI机器程序）。
介绍意识强度检测点,“意识强度检测点”（=“意识强度练习点”）。意识强度检测点，大检测点有几百个，小检测点有几万个。这些检测点是意识强度的专业研究组织从无数亿年（翻译成地球人的虚拟时间概念）的研究中逐渐积累的实验数据。主要使用意识强度检测仪进行测试，客观性最大化，属人性最小化。本文分享最常用的大检测点。为了便于实验和管理，意识强度检测点按照功能种类，分为不同的“功能区”。
什么是自动化程度vs自主化程度（自由意识）？,每个人的心智程序比重不一样，比重越高，自动化程度越高，自主化程度越低。 即：机器人vs自由人。 此处：自动化=AI机器程序。自主化=自由意识（freewill）。
自动化程度 vs 自主化程度（自由意识）大部分人类的量化数据,人类大部分：40-60%（反值）。（相当于：正值的 60-40%。）最高有 80%，但是极少数，即 80%自动化（机器人）程度，20%自主（自由人）程度。
什么是反应固化程度 vs 反应变通程度,面对同样的场景或行为，所采取的反应模式、程序。即：机器人 vs 自由人。
反应固化程度 vs 反应变通程度大部分人类的量化数据,60-80%（反值）。（相当于：正值的 40-20%。以下同理。）即 60-80%“机 器人固化程度”vs 相对于 20-40%“自由人变通程度”。
什么是向外归责程度 vs 向内反思程度,当发生责任事件，向外归因和向内归因的比重。
向外归责程度 vs 向内反思程度大部分人类的量化数据,60-80%（反值）。（即 60-80%向外归因，20-40%向内归因）
什么是意识分散程度 vs 意识专注程度,心智模式会让人难以专注，容易产生杂念，分散人的意识。
意识分散程度 vs 意识专注程度大部分人类的量化数据,60%左右（反值）。非常专注的做一件事情，比如精细手工艺或者精微手术 什么的，都需要至少 20%以下。如果强制控制自己去专注，会产生疲劳。如果沉浸在宁静的感觉中，会起到静心的效果
什么是思维僵化程度 vs 思维自由程度,心智思维占个人思维比重。多是机械、固化、盲目的程序。多来自于传统习俗、社会宣传、舆论导 向等。也属于信念系统。典型程序是：这个想法很正常吧，大家不都是这样吗。“固定=安心”等洗 脑意识和社会洗脑系统也是配套的程序，和 宗 教 系统也配套。外部洗脑式宣传会不断强化那些模 式、程序。如：物欲主义，也是在 T 组的引导下创造的，T 组给了他们很多灵感。巨大的虚假世界观 都站在一个巨大的显而易见的盲区上面。如：理论，是假设套假设的程序，把自己套进去。一些真 相，程序不想让你看到，你就看不到、视而不见。还有几个是人类原始基础设定程序。
思维僵化程度 vs 思维自由程度大部分人类的量化数据,人类大部分：60-80%左右（反值）
什么是劳作认可程度 vs 享受认可程度,觉得人必须劳动和工作，社会必须不断发展。劳动光荣，享受可耻。比如：不劳作，就没有安全感、 就等于没有责任感之类的程序。
劳作认可程度 vs 享受认可程度大部分人类的量化数据,人类大部分在 80-90%（反值）
