问题,答案
意识强度检测点第二区是什么？,上方区：自主意识区
什么是上方区：自主意识区,根据个体投胎计划，程序设定的初始数值。 一般需要缓慢提升。
第2区有多少个检测点,18个
第二区的检测点分别是什么,核心能量发挥率、复合体协作能力、灵活切换能力、冷静处理能力、挫折应激能力、沉迷拔出能力、他人共情能力、静心独处能力、自我释放能力、独立思维能力、宏观观察能力、细节觉察能力、自我修正能力、直觉感受能力、尊重他人能力、复合体意愿统一度、信息整理能力、信息过滤能力。
核心能量发挥率的量化数据是多少？,人类平均40-60%（正值）
复合体协作能力的量化数据是什么？,人类大部分在40-70%之间。
灵活切换能力的量化数据是多少？,人类大部分在30-70%之间。
冷静处理能力的量化数据是多少？,人类大部分：30-70%。
挫折应激能力的量化数据是怎样的？,人类大部分在30-80%。
沉迷拔出能力人类一般分布在哪个区间？,人类大部分30-60%。
他人共情能力的平均范围是多少？,人类40-70%。
静心独处能力的范围通常是怎样的？,人类大部分在20-80%。
自我释放能力的平均范围是多少？,人类大部分在20-80%。
独立思维能力的范围是什么？,人类大部分在20-70%。
宏观观察能力人类大部分是多少？,人类大部分在30-60%。
细节觉察能力的平均范围是多少？,人类大部分在40-70%。
自我修正能力的量化数据是怎样的？,人类大部分在20-70%。
直觉感受能力人类大部分的量化数据是多少？,人类大部分在40-60%。
尊重他人能力的范围是什么？,量化数据：人类大部分在20-50%。
复合体意愿统一度的通常范围是怎样的？,人类大部分在40-60%。
信息整理能力的平均范围是多少？,人类大部分在50-80%。
信息过滤能力通常在哪个范围内？,人类大部分在30-60%。
哪个区是根据个体投胎计划，程序设定的初始数值。 一般需要缓慢提升？,第2区，上方区：自主意识区
什么是核心能量发挥率,指复合体*所携带的能量的发挥率，类似于一个人的体力发挥率。 数值越高，越有力量扭转机器意识。 最高可设定80-90%，最低不能低于40%，根据个体投胎计划设定。
什么是复合体协作能力,指复合体*团队的合作力，能否顺利处理和协调各种临时状况。 灵体们的合作也需要磨合与成长，也是体验和学习的一环。
什么是灵活切换能力,指在不同场景或状态中切换的能力，能否同时应对不同场景。
